Results of cspell linter (version 4.1.3)
See documentation on https://nvuillam.github.io/mega-linter/descriptors/spell_cspell/
-----------------------------------------------

❌ [ERROR] for workspace /tmp/lint
Linter raw log:
/tmp/lint/doc/assets/js/search.js:1:4555 - Unknown word (callmaybe)
/tmp/lint/doc/assets/js/search.js:1:9241 - Unknown word (isjust)
/tmp/lint/doc/assets/js/search.js:1:9391 - Unknown word (isnothing)
/tmp/lint/doc/assets/js/search.js:1:9544 - Unknown word (callmaybe)
/tmp/lint/doc/assets/js/search.js:1:13329 - Unknown word (callmaybe)
/tmp/lint/doc/assets/js/search.js:1:14115 - Unknown word (isjust)
/tmp/lint/doc/assets/js/search.js:1:14177 - Unknown word (isnothing)
/tmp/lint/doc/index.html:67:82 - Unknown word (WASM)
/tmp/lint/doc/index.html:71:704 - Unknown word (napi)
/tmp/lint/doc/index.html:83:617 - Unknown word (funtion)
/tmp/lint/doc/index.html:84:538 - Unknown word (entrypoint)
/tmp/lint/doc/index.html:117:10 - Unknown word (Dependecies)
/tmp/lint/doc/index.html:122:71 - Unknown word (mocka)
/tmp/lint/doc/index.html:133:30 - Unknown word (mkdir)
/tmp/lint/doc/modules/index.html:133:15 - Unknown word (callmaybe)
/tmp/lint/doc/modules/index.html:168:15 - Unknown word (isjust)
/tmp/lint/doc/modules/index.html:173:15 - Unknown word (isnothing)
/tmp/lint/doc/modules/tail.html:126:24 - Unknown word (Vivier)
/tmp/lint/doc/modules/tail.html:126:32 - Unknown word (lanathlor)
/tmp/lint/doc/modules/tail.html:164:26 - Unknown word (Vivier)
/tmp/lint/doc/modules/tail.html:164:34 - Unknown word (lanathlor)
/tmp/lint/doc/modules/tools_maybe.html:107:15 - Unknown word (callmaybe)
/tmp/lint/doc/modules/tools_maybe.html:191:15 - Unknown word (isjust)
/tmp/lint/doc/modules/tools_maybe.html:220:15 - Unknown word (isnothing)
/tmp/lint/package-lock.json:30:6 - Unknown word (typedoc)
/tmp/lint/package-lock.json:31:6 - Unknown word (typedoc)
/tmp/lint/package-lock.json:60:6 - Unknown word (gensync)
/tmp/lint/package-lock.json:70:14 - Unknown word (opencollective)
/tmp/lint/package-lock.json:113:6 - Unknown word (jsesc)
/tmp/lint/package-lock.json:132:33 - Unknown word (arity)
/tmp/lint/package-lock.json:137:44 - Unknown word (arity)
/tmp/lint/package-lock.json:328:6 - Unknown word (camelcase)
/tmp/lint/package-lock.json:410:18 - Unknown word (nodelib)
/tmp/lint/package-lock.json:410:29 - Unknown word (scandir)
/tmp/lint/package-lock.json:416:7 - Unknown word (nodelib)
/tmp/lint/package-lock.json:423:18 - Unknown word (nodelib)
/tmp/lint/package-lock.json:432:18 - Unknown word (nodelib)
/tmp/lint/package-lock.json:438:18 - Unknown word (scandir)
/tmp/lint/package-lock.json:439:6 - Unknown word (fastq)
/tmp/lint/package-lock.json:445:18 - Unknown word (octokit)
/tmp/lint/package-lock.json:451:7 - Unknown word (octokit)
/tmp/lint/package-lock.json:454:18 - Unknown word (octokit)
/tmp/lint/package-lock.json:460:7 - Unknown word (octokit)
/tmp/lint/package-lock.json:490:26 - Unknown word (openapi)
/tmp/lint/package-lock.json:575:15 - Unknown word (openapi)
/tmp/lint/package-lock.json:657:6 - Unknown word (execa)
/tmp/lint/package-lock.json:705:6 - Unknown word (globby)
/tmp/lint/package-lock.json:753:6 - Unknown word (execa)
/tmp/lint/package-lock.json:763:6 - Unknown word (tempy)
/tmp/lint/package-lock.json:772:52 - Unknown word (execa)
/tmp/lint/package-lock.json:947:18 - Unknown word (sindresorhus)
/tmp/lint/package-lock.json:956:18 - Unknown word (szmarczak)
/tmp/lint/package-lock.json:968:18 - Unknown word (tootallnate)
/tmp/lint/package-lock.json:1097:44 - Unknown word (fullwidth)
/tmp/lint/package-lock.json:1113:9 - Unknown word (fullwidth)
/tmp/lint/package-lock.json:1189:17 - Unknown word (ansicolors)
/tmp/lint/package-lock.json:1195:17 - Unknown word (anymatch)
/tmp/lint/package-lock.json:1202:6 - Unknown word (picomatch)
/tmp/lint/package-lock.json:1220:17 - Unknown word (archy)
/tmp/lint/package-lock.json:1232:17 - Unknown word (argparse)
/tmp/lint/package-lock.json:1238:6 - Unknown word (sprintf)
/tmp/lint/package-lock.json:1262:17 - Unknown word (arrify)
/tmp/lint/package-lock.json:1329:6 - Unknown word (camelcase)
/tmp/lint/package-lock.json:1445:17 - Unknown word (cacheable)
/tmp/lint/package-lock.json:1454:6 - Unknown word (keyv)
/tmp/lint/package-lock.json:1457:6 - Unknown word (responselike)
/tmp/lint/package-lock.json:1463:17 - Unknown word (cacheable)
/tmp/lint/package-lock.json:1478:17 - Unknown word (cacheable)
/tmp/lint/package-lock.json:1493:6 - Unknown word (hasha)
/tmp/lint/package-lock.json:1515:17 - Unknown word (callsites)
/tmp/lint/package-lock.json:1524:17 - Unknown word (camelcase)
/tmp/lint/package-lock.json:1533:17 - Unknown word (camelcase)
/tmp/lint/package-lock.json:1556:6 - Unknown word (ansicolors)
/tmp/lint/package-lock.json:1557:6 - Unknown word (redeyed)
/tmp/lint/package-lock.json:1585:6 - Unknown word (pathval)
/tmp/lint/package-lock.json:1633:6 - Unknown word (anymatch)
/tmp/lint/package-lock.json:1635:6 - Unknown word (fsevents)
/tmp/lint/package-lock.json:1640:6 - Unknown word (readdirp)
/tmp/lint/package-lock.json:1646:6 - Unknown word (fsevents)
/tmp/lint/package-lock.json:1689:17 - Unknown word (cliui)
/tmp/lint/package-lock.json:1700:17 - Unknown word (cliui)
/tmp/lint/package-lock.json:1709:17 - Unknown word (cliui)
/tmp/lint/package-lock.json:1715:17 - Unknown word (cliui)
/tmp/lint/package-lock.json:1715:39 - Unknown word (fullwidth)
/tmp/lint/package-lock.json:1731:9 - Unknown word (fullwidth)
/tmp/lint/package-lock.json:1783:17 - Unknown word (commondir)
/tmp/lint/package-lock.json:1897:13 - Unknown word (ismatch)
/tmp/lint/package-lock.json:1940:17 - Unknown word (cosmiconfig)
/tmp/lint/package-lock.json:1956:17 - Unknown word (cosmiconfig)
/tmp/lint/package-lock.json:2000:6 - Unknown word (isexe)
/tmp/lint/package-lock.json:2027:14 - Unknown word (opencollective)
/tmp/lint/package-lock.json:2050:17 - Unknown word (decamelize)
/tmp/lint/package-lock.json:2059:17 - Unknown word (decamelize)
/tmp/lint/package-lock.json:2065:6 - Unknown word (decamelize)
/tmp/lint/package-lock.json:2072:17 - Unknown word (decamelize)
/tmp/lint/package-lock.json:2159:6 - Unknown word (globby)
/tmp/lint/package-lock.json:2271:6 - Unknown word (execa)
/tmp/lint/package-lock.json:2284:9 - Unknown word (arrayish)
/tmp/lint/package-lock.json:2305:23 - Unknown word (trimend)
/tmp/lint/package-lock.json:2306:23 - Unknown word (trimstart)
/tmp/lint/package-lock.json:2389:6 - Unknown word (esparse)
/tmp/lint/package-lock.json:2389:21 - Unknown word (esparse)
/tmp/lint/package-lock.json:2390:6 - Unknown word (esvalidate)
/tmp/lint/package-lock.json:2390:24 - Unknown word (esvalidate)
/tmp/lint/package-lock.json:2445:6 - Unknown word (picomatch)
/tmp/lint/package-lock.json:2451:17 - Unknown word (fastq)
/tmp/lint/package-lock.json:2457:6 - Unknown word (reusify)
/tmp/lint/package-lock.json:2493:6 - Unknown word (commondir)
/tmp/lint/package-lock.json:2566:17 - Unknown word (fromentries)
/tmp/lint/package-lock.json:2577:15 - Unknown word (patreon)
/tmp/lint/package-lock.json:2595:6 - Unknown word (universalify)
/tmp/lint/package-lock.json:2607:17 - Unknown word (fsevents)
/tmp/lint/package-lock.json:2628:17 - Unknown word (gensync)
/tmp/lint/package-lock.json:2776:17 - Unknown word (globby)
/tmp/lint/package-lock.json:2802:7 - Unknown word (sindresorhus)
/tmp/lint/package-lock.json:2803:7 - Unknown word (szmarczak)
/tmp/lint/package-lock.json:2804:6 - Unknown word (cacheable)
/tmp/lint/package-lock.json:2843:6 - Unknown word (wordwrap)
